quantization,inference_time,precision
int8,0.024911880493164062,0.0
int8,0.020709991455078125,0.0
int8,0.019834041595458984,0.02
int8,0.020277023315429688,0.08
int8,0.020099163055419922,0.0
int8,0.019913911819458008,0.0
int8,0.019789934158325195,0.0
int8,0.019863128662109375,0.03
int8,0.020029067993164062,0.07
int8,0.020127058029174805,0.0
int8,0.019982099533081055,0.17
int8,0.020030975341796875,0.02
int8,0.019804954528808594,0.03
int8,0.019981861114501953,0.01
int8,0.020719051361083984,0.0
int8,0.020740032196044922,0.01
int8,0.020659923553466797,0.0
int8,0.020384788513183594,0.0
int8,0.02069878578186035,0.11
int8,0.02042412757873535,0.0
int8,0.02016901969909668,0.02
int8,0.020289897918701172,0.0
int8,0.020242929458618164,0.02
int8,0.020496129989624023,0.0
int8,0.0205080509185791,0.0
int8,0.020290851593017578,0.0
int8,0.020077943801879883,0.08
int8,0.020173072814941406,0.07
int8,0.019987821578979492,0.14
int8,0.02042102813720703,0.0
int8,0.020435094833374023,0.0
int8,0.02023005485534668,0.01
int8,0.019994020462036133,0.0
int8,0.020416975021362305,0.0
int8,0.020081043243408203,0.0
int8,0.02033710479736328,0.0
int8,0.02005600929260254,0.0
int8,0.020426034927368164,0.03
int8,0.020439863204956055,0.16
int8,0.020045042037963867,0.0
int8,0.020056962966918945,0.09
int8,0.019943952560424805,0.16
int8,0.020051002502441406,0.0
int8,0.020240068435668945,0.03
int8,0.019621849060058594,0.0
int8,0.020310163497924805,0.01
int8,0.02031397819519043,0.02
int8,0.02018594741821289,0.01
int8,0.020395994186401367,0.0
int8,0.019875049591064453,0.01
int8,0.020205974578857422,0.0
int8,0.019848108291625977,0.01
int8,0.019912004470825195,0.15
int8,0.020592927932739258,0.01
int8,0.020022153854370117,0.06
int8,0.02004218101501465,0.06
int8,0.02008509635925293,0.0
int8,0.019936800003051758,0.01
int8,0.020231008529663086,0.03
int8,0.019964933395385742,0.0
int8,0.02002096176147461,0.02
int8,0.020048141479492188,0.13
int8,0.020582914352416992,0.0
int8,0.02014017105102539,0.08
int8,0.020598888397216797,0.0
int8,0.020057201385498047,0.0
int8,0.02015995979309082,0.01
int8,0.02004098892211914,0.11
int8,0.020366907119750977,0.14
int8,0.020195960998535156,0.01
int8,0.020364046096801758,0.0
int8,0.020220041275024414,0.0
int8,0.02031397819519043,0.0
int8,0.020550012588500977,0.03
int8,0.020473003387451172,0.07
int8,0.020196914672851562,0.01
int8,0.02011704444885254,0.11
int8,0.019890785217285156,0.0
int8,0.019721031188964844,0.0
int8,0.020514965057373047,0.1
int8,0.020546913146972656,0.07
int8,0.020197153091430664,0.0
int8,0.020047903060913086,0.0
int8,0.020354032516479492,0.01
int8,0.020264863967895508,0.16
int8,0.020211219787597656,0.0
int8,0.020184993743896484,0.14
int8,0.020276784896850586,0.08
int8,0.02038407325744629,0.07
int8,0.019980192184448242,0.0
int8,0.020022869110107422,0.0
int8,0.020154953002929688,0.0
int8,0.02018594741821289,0.0
int8,0.020175933837890625,0.1
int8,0.02045297622680664,0.0
int8,0.020296812057495117,0.06
int8,0.020084142684936523,0.0
int8,0.020144939422607422,0.04
int8,0.020418882369995117,0.01
int8,0.019981861114501953,0.02
int8,0.019917964935302734,0.02
int8,0.01987600326538086,0.02
int8,0.01983785629272461,0.0
int8,0.020184993743896484,0.0
int8,0.019954919815063477,0.0
int8,0.019925832748413086,0.0
int8,0.019999980926513672,0.02
int8,0.020019054412841797,0.0
int8,0.020342111587524414,0.03
int8,0.02054286003112793,0.0
int8,0.02016901969909668,0.02
int8,0.020131826400756836,0.12
int8,0.019985198974609375,0.21
int8,0.020340919494628906,0.0
int8,0.0201570987701416,0.0
int8,0.02009296417236328,0.0
int8,0.01996898651123047,0.1
int8,0.01987290382385254,0.0
int8,0.020301103591918945,0.06
int8,0.01996016502380371,0.02
int8,0.020009994506835938,0.01
int8,0.019936084747314453,0.04
int8,0.019903898239135742,0.0
int8,0.020207881927490234,0.17
int8,0.02003192901611328,0.0
int8,0.019845962524414062,0.14
int8,0.01987910270690918,0.04
int8,0.019917011260986328,0.0
int8,0.020219087600708008,0.0
int8,0.02012181282043457,0.0
int8,0.02031397819519043,0.15
int8,0.020120859146118164,0.13
int8,0.0199429988861084,0.1
int8,0.020366907119750977,0.0
int8,0.020087003707885742,0.08
int8,0.01962900161743164,0.0
int8,0.019918203353881836,0.18
int8,0.019868135452270508,0.0
int8,0.020161151885986328,0.09
int8,0.020459890365600586,0.0
int8,0.020327091217041016,0.0
int8,0.020387887954711914,0.0
int8,0.019839763641357422,0.02
int8,0.020288944244384766,0.0
int8,0.019984006881713867,0.0
int8,0.019852161407470703,0.01
int8,0.01986098289489746,0.0
int8,0.019767045974731445,0.02
int8,0.020119905471801758,0.0
int8,0.02004098892211914,0.01
int8,0.019850969314575195,0.07
int8,0.01973104476928711,0.01
int8,0.020074844360351562,0.1
int8,0.020270109176635742,0.0
int8,0.02015399932861328,0.0
int8,0.019932031631469727,0.0
int8,0.020123958587646484,0.01
int8,0.020254850387573242,0.0
int8,0.02036309242248535,0.06
int8,0.021026134490966797,0.0
int8,0.0202939510345459,0.0
int8,0.020142078399658203,0.0
int8,0.01994609832763672,0.01
int8,0.020545005798339844,0.0
int8,0.020251035690307617,0.0
int8,0.019954919815063477,0.04
int8,0.0207059383392334,0.0
int8,0.020228862762451172,0.04
int8,0.020607948303222656,0.0
int8,0.020087003707885742,0.0
int8,0.020125150680541992,0.01
int8,0.020097017288208008,0.02
int8,0.019980192184448242,0.01
int8,0.020151853561401367,0.0
